0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
643,143,651,136,634,136,663,147,621,148,678,199,605,199,701,222,585,217,668,216,621,213,670,331,618,332,685,438,604,440,697,544,592,546
643,143,651,136,634,136,663,147,621,147,678,199,605,198,701,222,584,217,669,216,620,213,669,330,618,331,685,438,604,440,698,544,592,546
643,150,652,143,634,143,664,154,620,154,677,207,602,206,703,230,586,224,668,221,618,221,668,340,615,341,689,443,593,445,699,543,590,547
643,154,651,147,634,147,663,158,620,158,677,211,603,210,702,236,582,230,667,223,614,226,669,343,616,344,693,443,593,445,700,543,590,545
643,154,651,147,634,147,663,159,620,158,677,211,604,210,702,236,582,229,667,223,614,226,669,343,616,344,693,443,593,445,700,543,590,544
643,159,651,152,634,152,663,163,620,163,677,215,604,213,702,239,580,232,666,227,616,232,669,346,616,347,693,444,593,446,699,543,590,544
643,164,651,157,634,157,664,167,620,167,677,220,605,218,701,243,580,234,665,231,617,235,668,350,616,350,693,445,592,447,699,543,590,544
642,169,651,162,633,162,663,172,620,171,677,223,603,221,701,247,580,238,665,235,616,237,668,352,615,352,693,446,591,449,699,543,589,545
642,175,651,167,633,167,663,177,619,177,678,228,603,226,701,250,581,242,665,243,617,242,668,355,614,355,694,448,590,449,700,543,589,545
642,175,651,167,633,167,663,177,619,177,678,228,603,226,701,250,581,242,665,243,617,242,668,354,614,355,694,447,590,449,700,543,589,545
643,180,651,173,633,173,663,183,620,183,677,233,604,231,702,256,579,249,667,248,616,249,668,357,616,358,695,449,591,451,700,543,590,545
642,187,651,180,633,180,663,189,619,189,677,239,604,238,702,263,580,256,667,251,614,254,668,362,615,362,696,450,590,452,701,543,589,545
643,143,651,136,634,136,663,147,620,147,678,199,605,198,701,222,585,216,669,216,620,213,669,330,618,331,685,438,604,440,698,544,592,546
641,195,650,187,633,187,662,196,619,196,676,245,604,245,703,268,579,263,667,259,614,261,668,365,616,366,697,450,589,452,701,543,589,544
642,201,651,193,633,193,663,202,619,202,676,252,604,251,701,276,579,268,666,264,615,268,666,372,615,373,698,451,588,453,699,542,589,543
642,201,651,193,633,193,663,202,619,202,676,252,604,251,702,276,578,268,666,264,615,268,666,372,615,373,698,451,588,453,699,542,589,543
642,207,651,199,633,199,663,208,618,208,676,257,603,255,702,281,580,273,666,271,615,273,667,376,615,377,698,452,588,454,699,541,590,543
642,212,651,205,633,205,662,215,618,214,675,262,605,261,701,286,580,282,667,278,615,281,668,380,617,381,698,453,588,455,700,541,590,543
642,218,651,211,633,211,662,220,618,220,676,268,604,268,701,292,579,287,666,283,613,285,668,385,616,386,699,454,589,456,700,542,589,543
