file_name,cosine_similarity,knee_angle_diff,hip_angle_diff,shoulder_symmetry_diff,knee_symmetry_diff,ankle_symmetry_diff,knee_gap_diff,shoulder_height_diff_y,result
frame_000.json,0.9998,999,999,21.92,11.11,29.52,11.11,3,fail
frame_001.json,0.9998,999,999,23.29,8.64,31.13,8.64,3,fail
frame_002.json,0.9998,999,999,23.29,8.64,30.19,8.64,4,fail
frame_003.json,0.9998,999,999,23.29,9.88,30.48,9.88,3,fail
frame_004.json,0.9998,999,999,23.29,13.1,31.78,13.1,3,fail
frame_005.json,0.9998,999,999,21.92,13.95,30.84,13.95,4,fail
frame_006.json,0.9998,999,999,21.92,16.85,30.19,16.85,4,fail
frame_007.json,0.9998,999,999,26.39,15.73,29.91,15.73,3,fail
frame_008.json,0.9998,999,999,23.29,19.57,30.84,19.57,3,fail
frame_009.json,0.9999,999,999,18.67,21.28,30.84,21.28,3,fail
frame_010.json,0.9998,999,999,18.67,22.92,32.11,22.92,3,fail
frame_011.json,0.9998,999,999,20.27,26.0,31.82,26.0,4,fail
frame_012.json,0.9998,999,999,23.29,25.0,32.73,25.0,5,fail
frame_013.json,0.9998,999,999,23.29,25.0,33.03,25.0,5,fail
frame_014.json,0.9997,999,999,25.0,25.74,33.03,25.74,5,fail
frame_015.json,0.9996,999,999,22.97,26.47,32.73,26.47,4,fail
frame_016.json,0.9995,999,999,21.33,26.92,32.43,26.92,5,fail
frame_017.json,0.9996,999,999,21.33,25.96,32.43,25.96,5,fail
frame_018.json,0.9995,999,999,24.66,25.96,30.91,25.96,4,fail
frame_019.json,0.9994,999,999,26.03,26.42,33.93,26.42,1,fail
frame_020.json,0.9992,999,999,27.78,27.78,30.36,27.78,1,fail
frame_021.json,0.9991,999,999,27.78,30.0,32.73,30.0,1,fail
frame_022.json,0.9993,999,999,25.0,30.91,26.36,30.91,999,fail
frame_023.json,0.9993,999,999,19.18,31.82,26.61,31.82,1,fail
frame_024.json,0.9993,999,999,21.43,30.0,26.36,30.0,1,fail
frame_025.json,0.9993,999,999,16.67,29.09,27.03,29.09,1,fail
frame_026.json,0.9993,999,999,22.86,26.36,25.23,26.36,999,fail
frame_027.json,0.9996,999,999,22.86,23.42,21.62,23.42,1,fail
frame_028.json,0.9997,999,999,23.19,20.72,17.12,20.72,1,fail
frame_029.json,0.9997,999,999,22.54,18.75,15.32,18.75,2,fail
frame_030.json,0.9998,999,999,23.94,17.12,16.07,17.12,2,fail
frame_031.json,0.9998,999,999,32.39,16.07,14.29,16.07,999,fail
frame_032.json,0.9998,999,999,32.39,14.41,12.61,14.41,1,fail
frame_033.json,0.9999,999,999,35.71,12.5,10.81,12.5,999,fail
frame_034.json,0.9999,999,999,30.0,12.61,7.34,12.61,3,fail
frame_035.json,0.9998,999,999,37.68,11.71,9.17,11.71,2,fail
frame_036.json,0.9998,999,999,36.76,11.61,5.61,11.61,999,fail
frame_037.json,0.9999,999,999,29.41,16.07,4.67,16.07,1,fail
frame_038.json,0.9999,999,999,35.82,16.96,7.48,16.96,1,fail
frame_039.json,0.9999,999,999,28.99,16.22,7.48,16.22,2,fail
frame_040.json,0.9999,999,999,31.88,18.02,10.28,18.02,1,fail
frame_041.json,0.9999,999,999,30.43,18.92,13.08,18.92,999,fail
frame_042.json,0.9999,999,999,28.99,19.82,14.02,19.82,3,fail
frame_043.json,0.9999,999,999,30.0,18.75,15.89,18.75,4,fail
frame_044.json,0.9999,999,999,33.33,20.0,14.95,20.0,999,fail
frame_045.json,0.9999,999,999,29.58,19.3,16.67,19.3,1,fail
frame_046.json,0.9999,999,999,30.99,20.0,16.67,20.0,1,fail
frame_047.json,0.9999,999,999,29.58,20.0,15.74,20.0,3,fail
frame_048.json,0.9999,999,999,35.29,23.08,17.59,23.08,1,fail
frame_049.json,0.9999,999,999,35.82,23.08,17.76,23.08,1,fail
frame_050.json,0.9999,999,999,33.82,22.41,17.76,22.41,999,fail
frame_051.json,0.9999,999,999,33.82,21.93,20.37,21.93,999,fail
frame_052.json,0.9999,999,999,30.0,21.24,18.69,21.24,2,fail
frame_053.json,0.9999,999,999,27.14,20.91,18.87,20.91,999,fail
frame_054.json,0.9999,999,999,26.76,19.44,18.87,19.44,999,fail
frame_055.json,0.9998,999,999,27.54,20.56,18.87,20.56,999,fail
frame_056.json,0.9999,999,999,27.54,21.9,20.75,21.9,2,fail
frame_057.json,0.9999,999,999,27.54,22.86,21.7,22.86,999,fail
frame_058.json,0.9999,999,999,31.34,21.36,23.36,21.36,2,fail
frame_059.json,0.9998,999,999,24.29,19.8,22.94,19.8,4,fail
frame_060.json,0.9999,999,999,21.13,23.76,27.27,23.76,4,fail
frame_061.json,0.9999,999,999,21.13,21.21,29.73,21.21,1,fail
frame_062.json,0.9999,999,999,22.54,22.22,30.0,22.22,2,fail
frame_063.json,0.9999,999,999,19.18,21.43,30.63,21.43,2,fail
frame_064.json,0.9999,999,999,24.29,21.65,27.52,21.65,2,fail
frame_065.json,0.9998,999,999,12.5,22.68,27.52,22.68,1,fail
frame_066.json,0.9999,999,999,15.07,21.65,27.52,21.65,1,fail
frame_067.json,0.9998,999,999,15.07,23.71,28.44,23.71,2,fail
frame_068.json,0.9998,999,999,12.33,21.05,27.52,21.05,2,fail
frame_069.json,0.9998,999,999,13.7,21.51,26.85,21.51,2,fail
frame_070.json,0.9998,999,999,12.16,23.4,29.36,23.4,999,fail
frame_071.json,0.9999,999,999,6.58,24.21,30.63,24.21,2,fail
frame_072.json,0.9998,999,999,9.21,24.21,29.09,24.21,2,fail
frame_073.json,0.9999,999,999,10.53,24.21,29.73,24.21,1,fail
frame_074.json,0.9999,999,999,20.0,18.09,28.44,18.09,2,fail
frame_075.json,0.9999,999,999,21.33,17.02,28.44,17.02,3,fail
frame_076.json,0.9999,999,999,16.88,16.3,30.56,16.3,3,fail
frame_077.json,0.9999,999,999,19.74,15.22,29.63,15.22,4,fail
frame_078.json,0.9999,999,999,19.74,16.13,30.56,16.13,6,fail
frame_079.json,0.9999,999,999,18.42,13.33,30.56,13.33,5,fail
frame_080.json,0.9999,999,999,15.58,13.64,31.48,13.64,6,fail
frame_081.json,0.9999,999,999,15.58,12.79,29.91,12.79,4,fail
frame_082.json,0.9999,999,999,17.11,12.79,30.84,12.79,5,fail
frame_083.json,0.9998,999,999,16.88,11.76,33.33,11.76,5,fail
frame_084.json,0.9998,999,999,18.42,10.71,34.23,10.71,6,fail
frame_085.json,0.9998,999,999,15.38,14.12,33.64,14.12,5,fail
frame_086.json,0.9997,999,999,18.42,10.98,36.04,10.98,5,fail
