image_name,person_id,keypoint_id,x,y,confidence
data/solo_dance\frame_0.jpg,1,0,315,184,0.9725244641304016
data/solo_dance\frame_0.jpg,1,1,320,180,0.9158610105514526
data/solo_dance\frame_0.jpg,1,2,311,180,0.9535261392593384
data/solo_dance\frame_0.jpg,1,3,327,183,0.6709133386611938
data/solo_dance\frame_0.jpg,1,4,305,183,0.8407554626464844
data/solo_dance\frame_0.jpg,1,5,332,212,0.9772096276283264
data/solo_dance\frame_0.jpg,1,6,301,211,0.993573009967804
data/solo_dance\frame_0.jpg,1,7,338,247,0.85858154296875
data/solo_dance\frame_0.jpg,1,8,293,247,0.9684083461761475
data/solo_dance\frame_0.jpg,1,9,341,281,0.8155508637428284
data/solo_dance\frame_0.jpg,1,10,293,279,0.9377941489219666
data/solo_dance\frame_0.jpg,1,11,326,275,0.988658607006073
data/solo_dance\frame_0.jpg,1,12,307,275,0.9937558174133301
data/solo_dance\frame_0.jpg,1,13,323,330,0.9833125472068787
data/solo_dance\frame_0.jpg,1,14,311,330,0.9913517236709595
data/solo_dance\frame_0.jpg,1,15,318,380,0.9545115232467651
data/solo_dance\frame_0.jpg,1,16,311,383,0.9710408449172974
data/solo_dance\frame_1008.jpg,1,0,306,169,0.9719865918159485
data/solo_dance\frame_1008.jpg,1,1,311,164,0.9522556066513062
data/solo_dance\frame_1008.jpg,1,2,302,165,0.8777046799659729
data/solo_dance\frame_1008.jpg,1,3,318,166,0.8472860455513
data/solo_dance\frame_1008.jpg,1,5,331,196,0.9955151677131653
data/solo_dance\frame_1008.jpg,1,6,294,196,0.9768708944320679
data/solo_dance\frame_1008.jpg,1,7,341,235,0.9855217337608337
data/solo_dance\frame_1008.jpg,1,8,288,209,0.8924893140792847
data/solo_dance\frame_1008.jpg,1,9,312,250,0.9682530164718628
data/solo_dance\frame_1008.jpg,1,10,285,186,0.8650972843170166
data/solo_dance\frame_1008.jpg,1,11,322,275,0.9964439272880554
data/solo_dance\frame_1008.jpg,1,12,296,275,0.9923425316810608
data/solo_dance\frame_1008.jpg,1,13,313,339,0.9936621189117432
data/solo_dance\frame_1008.jpg,1,14,295,343,0.9871273040771484
data/solo_dance\frame_1008.jpg,1,15,322,399,0.9677609205245972
data/solo_dance\frame_1008.jpg,1,16,303,400,0.9514654874801636
data/solo_dance\frame_1032.jpg,1,0,324,173,0.9738536477088928
data/solo_dance\frame_1032.jpg,1,1,328,168,0.9060124754905701
data/solo_dance\frame_1032.jpg,1,2,319,170,0.940068244934082
data/solo_dance\frame_1032.jpg,1,3,335,169,0.6715322732925415
data/solo_dance\frame_1032.jpg,1,4,314,173,0.7953802347183228
data/solo_dance\frame_1032.jpg,1,5,339,192,0.9914566874504089
data/solo_dance\frame_1032.jpg,1,6,317,202,0.9943851232528687
data/solo_dance\frame_1032.jpg,1,7,330,208,0.9645277857780457
data/solo_dance\frame_1032.jpg,1,8,315,248,0.9815725088119507
data/solo_dance\frame_1032.jpg,1,9,319,192,0.9218772053718567
data/solo_dance\frame_1032.jpg,1,10,318,281,0.9584825038909912
data/solo_dance\frame_1032.jpg,1,11,353,272,0.9978356957435608
data/solo_dance\frame_1032.jpg,1,12,332,277,0.9984148740768433
data/solo_dance\frame_1032.jpg,1,13,363,334,0.9948745369911194
data/solo_dance\frame_1032.jpg,1,14,317,341,0.9965113997459412
data/solo_dance\frame_1032.jpg,1,15,379,392,0.9761272072792053
data/solo_dance\frame_1032.jpg,1,16,304,403,0.9815446138381958
data/solo_dance\frame_1056.jpg,1,0,329,185,0.9275639057159424
