epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.51806,1.41035,2.81551,1.75654,0.61343,0.88258,0.8879,0.6156,1.39333,1.32811,1.25125,0,0,0
2,4.72763,1.24345,2.67792,1.42876,0.59769,0.89657,0.88815,0.618,1.40569,1.35131,1.25755,1.17822e-06,1.17822e-06,1.17822e-06
3,6.47462,1.1264,4.17205,1.48543,0.57766,0.83333,0.87396,0.61302,1.421,1.38157,1.2658,2.33288e-06,2.33288e-06,2.33288e-06
4,8.40925,1.27901,2.67879,1.45506,0.54517,0.85712,0.87208,0.60506,1.45295,1.41694,1.27929,3.46397e-06,3.46397e-06,3.46397e-06
5,10.4596,1.32848,2.86098,1.62108,0.57029,0.83333,0.87415,0.59719,1.48126,1.45234,1.29615,4.5715e-06,4.5715e-06,4.5715e-06
6,12.5003,1.66493,4.59714,1.93347,0.85529,0.57222,0.874,0.58053,1.49342,1.50786,1.31123,5.65548e-06,5.65548e-06,5.65548e-06
7,14.4285,1.38229,2.09179,1.53873,0.84095,0.56667,0.88598,0.57899,1.50472,1.54883,1.31961,6.71588e-06,6.71588e-06,6.71588e-06
8,16.4089,1.49238,3.18909,1.74902,0.83907,0.56667,0.88234,0.56349,1.51862,1.62541,1.34284,7.75273e-06,7.75273e-06,7.75273e-06
9,18.3916,1.08516,2.60824,1.36906,0.82386,0.56667,0.77945,0.5384,1.54446,1.69017,1.36154,8.76602e-06,8.76602e-06,8.76602e-06
10,20.374,0.9924,3.34181,1.49297,0.82692,0.58148,0.74654,0.53549,1.5567,1.73849,1.37605,9.75574e-06,9.75574e-06,9.75574e-06
11,22.3291,1.34158,2.7669,1.53617,0.80125,0.58137,0.74299,0.53433,1.55655,1.74786,1.37797,1.07219e-05,1.07219e-05,1.07219e-05
12,24.447,1.04809,2.06771,1.4031,0.78288,0.58333,0.74306,0.53442,1.55079,1.76914,1.37333,1.16645e-05,1.16645e-05,1.16645e-05
